CUSTOMER_ID,DATE,QUANTITY,AMOUNT
1632855957414-473771045474223818,2021-09-28,1,5.99
1632885944541-9138695487603490600,2021-09-29,1,5.99
1633260341707-8055063101674499585,2021-10-04,1,5.99
1633316115897-24897320538729918,2021-10-05,1,5.99
1633381651878-7279584549122043827,2021-10-07,1,5.99
1634256253003-4813877454904233150,2021-10-15,1,5.99
1634401947449-9124610677693140985,2021-10-26,1,5.99
1634691205620-1785119141445592786,2021-10-20,1,5.99
1634827321524-2176500922190045337,2021-10-21,1,5.99
1634863085012-5965234759525706557,2021-10-22,1,5.99
1635042020850-1327042057115140710,2022-02-16,1,5.99
1635051361649-855590082646321316,2021-10-24,1,5.99
1635124972400-3061299926701541527,2021-10-25,1,5.99
1635134016557-4398769208299743909,2021-10-25,1,5.99
1635207283344-1154431552446538080,2021-10-26,1,5.99
1635211804087-5397454202778836874,2021-10-27,1,5.99
1635547176878-695110730535050893,2021-10-29,1,5.99
1635600123569-4593915057752174132,2021-10-30,1,5.99
1635654190963-699517973631353575,2021-11-02,1,5.99
1635725404583-6867565897692339966,2021-11-04,1,5.99
1635819043078-115881443981370117,2021-11-03,1,5.99
1635985248031-3149594269198861519,2021-11-04,1,5.99
1636001238255-5914233537827730528,2021-11-04,1,5.99
1636035227576-6715479008880102307,2021-11-06,1,5.99
1636174812725-3163736971849877746,2021-11-06,1,5.99
1636244550087-358083757658458679,2021-11-07,1,5.99
1636417757394-3581330706911177955,2021-11-22,1,5.99
1636434736339-4395583696960944488,2021-11-10,1,5.99
1636455951836-7452272225009771420,2021-11-09,1,5.99
1636597277523-7466422353008213015,2022-04-02,1,5.99
1636653391908-2320713048851543523,2021-11-11,1,5.99
1636696854560-1877588991935901251,2021-11-13,1,5.99
1636758473334-8592561501916028556,2021-11-13,1,5.99
1636771415265-7759146365278762482,2021-11-14,1,5.99
1636780745002-6317758996423959838,2021-11-13,1,5.99
1636832441723-7619953647809181286,2021-11-13,1,5.99
1636832477741-5298289582975421843,2021-11-13,1,5.99
1636843836209-7085482156588891293,2021-11-14,1,5.99
1636899808947-5345406445606890209,2021-11-14,1,5.99
1636917783086-9042116846447778679,2021-11-14,1,5.99
1636922102656-1730312489862341128,2021-11-14,1,5.99
1636928003153-5531227330486003262,2021-11-14,1,5.99
1637119009254-1831259184289550408,2021-11-17,1,5.99
1637181322647-6060483050008329920,2021-11-17,1,5.99
1637212425358-7503153893955909678,2021-11-19,1,5.99
1637213843899-4104189944527060191,2021-11-29,1,5.99
1637225605896-8565812254994158103,2021-12-04,1,5.99
1637281822143-6530136265522361486,2021-11-24,1,5.99
1637288229484-4371969329371453680,2021-11-19,1,5.99
1637294841963-7323719220178369943,2021-11-20,1,5.99
1637345769148-7459397352220150043,2021-11-19,1,5.99
1637353168359-7751169028731193351,2021-11-19,1,5.99
1637370184506-5746244909902067291,2021-11-20,1,5.99
1637374771563-5630962145496778776,2021-11-20,1,5.99
1637410194128-7131701143664511934,2021-12-05,1,5.99
1637500275414-9190697420804231512,2022-01-29,1,5.99
1637502219578-2345749316241385493,2021-11-21,1,5.99
1637519431173-3608664731826931323,2021-11-21,1,5.99
1637519523669-126693025144799072,2021-11-22,1,5.99
1637544528822-3583621029212008563,2021-11-22,1,5.99
1637577844667-6191851656402444947,2021-11-25,1,5.99
1637594710113-7642431286212251124,2021-11-22,1,5.99
1637644514181-459403607727750736,2021-11-28,1,5.99
1637646653913-4647421005542003340,2021-11-23,1,5.99
1637649478189-851215134490866249,2021-11-23,1,5.99
1637667092173-2816414650046386241,2021-11-23,1,5.99
1637674001641-7062488211381900966,2021-11-23,1,5.99
1637764429990-9045675081718701261,2021-11-24,1,5.99
1637770009120-730808515916618749,2021-11-24,1,5.99
1637799034993-7860170481634840043,2021-11-25,1,5.99
1637821958365-1672795056803409148,2021-11-25,1,5.99
1638285119970-4494477779633116765,2021-12-01,1,5.99
1638320373809-2538291620311563874,2021-12-01,1,5.99
1638404912648-3256158943371590788,2021-12-02,1,5.99
1638472774107-4501970857211047753,2021-12-02,1,5.99
1638496327607-339186355513495380,2021-12-03,1,5.99
1638518679030-8574616993990155891,2021-12-03,1,5.99
1638573480109-8711816856034751636,2021-12-07,1,5.99
1638649804210-4211477483645768895,2021-12-04,1,5.99
1638659389765-1204064802437675314,2021-12-04,1,5.99
1638704389147-3038268432195445681,2021-12-05,1,5.99
1638828834542-4907663781956427566,2021-12-07,1,5.99
1638930498847-8325738467564841839,2021-12-08,1,5.99
1638933945495-6772812970349050585,2021-12-08,1,5.99
1639011870461-5015132115716807301,2022-01-06,1,5.99
1639076762042-578561160387549480,2021-12-19,1,5.99
1639108890030-4414079351436834054,2021-12-11,1,5.99
1639123174274-7466715710316044853,2022-04-25,1,5.99
1639170853393-4395545882298057245,2021-12-11,1,5.99
1639190701694-4675507673272809725,2021-12-11,1,5.99
1639274055005-18444547363807881,2021-12-12,1,5.99
1639296145268-5549854722187574553,2021-12-12,1,5.99
1639341763415-4122846199435399877,2021-12-13,1,5.99
1639434897743-1274802669797878181,2021-12-14,1,5.99
1639454230017-2285174844368255862,2021-12-14,1,5.99
1639456179923-4610247391265323962,2022-01-14,1,5.99
1639458446586-7562528483087511369,2021-12-15,1,5.99
1639460661142-9145332068002566038,2021-12-14,1,5.99
1639489594097-6721771891802785355,2021-12-15,1,5.99
1639530888332-7818921374040312889,2022-05-20,1,5.99
1639539539222-1691677944403019792,2021-12-15,1,5.99
1639540042961-2416100470845700907,2021-12-15,1,5.99
1639586443619-6742894404407936629,2021-12-15,1,5.99
1639615803712-130289534996108152,2021-12-16,1,5.99
1639711773646-812424215437520008,2021-12-17,1,5.99
1639718524090-1967079202407277421,2021-12-17,1,5.99
1639772053877-3413174241234391962,2021-12-17,1,5.99
1639858101467-6927436570737419741,2021-12-18,1,5.99
1639914703325-2903272466827458418,2021-12-20,1,5.99
1639965844920-2142757991000261425,2021-12-20,1,5.99
1639991106199-8952480296268644774,2022-03-20,1,5.99
1640019544635-1893709939987327381,2021-12-21,1,5.99
1640057539526-7552943847454392461,2021-12-21,1,5.99
1640058985305-4202065341791288607,2021-12-21,1,5.99
1640060546512-6333100406420225138,2021-12-21,1,5.99
1640075256567-3726313798299242817,2021-12-21,1,5.99
1640083299684-1528081666626521023,2021-12-21,1,5.99
1640111608765-2481838140556481787,2021-12-21,1,5.99
1640225056112-588214600579583348,2021-12-23,1,5.99
1640276315174-4334126619099730018,2021-12-26,1,5.99
1640351941024-6880256766271832821,2021-12-26,1,5.99
1640393987771-6553990165806431191,2021-12-26,1,5.99
1640409613129-7942415151973869376,2021-12-25,1,5.99
1640413900848-4016889132215757635,2021-12-25,1,5.99
1640446674336-7290271247928560505,2022-01-01,1,5.99
1640495139168-2604420143976371394,2021-12-26,1,5.99
1640499624913-3636722810905571361,2021-12-26,1,5.99
1640517064591-6776200649720350583,2021-12-27,1,5.99
1640564789901-5082399979695643356,2021-12-27,1,5.99
1640573098803-8043488350811487474,2021-12-27,1,5.99
1640573098803-8043488350811487474,2022-01-03,1,5.99
1640575005946-2179532338235169827,2021-12-29,1,5.99
1640581128599-6499974540653820120,2021-12-28,1,5.99
1640607649422-7056505719183213605,2021-12-27,1,5.99
1640616223184-7699616926675555914,2021-12-30,1,5.99
1640635929649-1234217789328459635,2021-12-28,1,5.99
1640664365094-4350016052561632763,2021-12-28,1,5.99
1640667049723-8239491261461430408,2021-12-29,1,5.99
1640672907095-5742868318680124068,2021-12-29,1,5.99
1640688505863-2365084352760250623,2021-12-30,1,5.99
1640701652616-2463343776458551479,2021-12-28,1,5.99
1640714701159-8218028508142347075,2021-12-31,1,5.99
1640758270729-8800527334971494274,2021-12-29,1,5.99
1640811927840-2662082697845968986,2021-12-31,1,5.99
1640834652154-6097417567202165158,2022-01-01,1,5.99
1640888240339-2744225755773238545,2021-12-31,1,5.99
1640895395406-1373155120109707936,2022-01-03,1,5.99
1640907297792-3347953244052602448,2021-12-30,1,5.99
1640907377245-5569936490284573287,2021-12-30,1,5.99
1640913150429-2581203111571544731,2021-12-31,1,5.99
1640913265478-4700475070514754128,2021-12-31,1,5.99
1640915109723-6357552300223180430,2021-12-31,1,5.99
1640916217136-2205404304755934783,2021-12-31,1,5.99
1640917512670-5497780800133758233,2021-12-31,1,5.99
1640923236418-5368172360436298804,2022-01-15,1,5.99
1640939654008-5181106595234981613,2021-12-31,1,5.99
1640945831377-2026222917035030035,2021-12-31,1,5.99
1640978407127-563655932327169940,2021-12-31,1,5.99
1640999004180-3569057388620047217,2022-01-01,1,5.99
1641002032041-7281655079707548439,2022-01-01,1,5.99
1641018517197-3731100513310216894,2022-01-01,1,5.99
1641054985695-6024865541230268066,2022-01-01,1,5.99
1641087571761-2032664716214733327,2022-01-02,1,5.99
1641091140706-8474354973021034655,2022-01-02,1,5.99
1641092277605-1881719485350621474,2022-01-03,1,5.99
1641099432419-3334029613052702214,2022-01-13,1,5.99
1641108729536-7165869530901266532,2022-01-02,1,5.99
1641180424077-3205091092167263912,2022-01-03,1,5.99
1641212564759-8234752238358241585,2022-01-03,1,5.99
1641221550115-416392194543473576,2022-01-03,1,5.99
1641248770681-8569658738275891948,2022-01-04,1,5.99
1641254390190-1050515306970900428,2022-01-04,1,5.99
1641254667755-1666709447132953687,2022-01-04,1,5.99
1641270961977-7210667292168586345,2022-01-04,1,5.99
1641344136808-2120930862233531754,2022-01-05,1,5.99
1641359176148-4863325428703786911,2022-01-05,1,5.99
1641360922406-8496316861654818424,2022-01-05,1,5.99
1641370687038-8090037557032693123,2022-01-05,1,5.99
1641413236454-5445817955443888673,2022-01-09,1,5.99
1641431081801-1985523405470563701,2022-01-07,1,5.99
1641433308807-114940060560655584,2022-01-06,1,5.99
1641440619537-4708474732752060718,2022-01-09,1,5.99
1641443378672-2860046704674582138,2022-01-06,1,5.99
1641474206803-1973717872520012963,2022-01-06,1,5.99
1641487572369-7101553915885048358,2022-01-06,1,5.99
1641495588347-9074770756817817733,2022-01-10,1,5.99
1641514761659-606104104635657776,2022-01-09,1,5.99
1641529403198-2926818935226447846,2022-01-07,1,5.99
1641576420756-6001109663026197756,2022-01-09,1,5.99
1641662172573-265943597755916378,2022-01-08,1,5.99
1641744575582-827257111397477984,2022-01-12,1,5.99
1641775622883-1413769739621317765,2022-01-10,1,5.99
1641880551522-2824367549363382841,2022-01-11,1,5.99
1641884364217-1551081726194323888,2022-01-11,1,5.99
1641909003188-3955310566603932139,2022-01-12,1,5.99
1641926420142-5662496963635672410,2022-01-11,1,5.99
1641978353152-5574713722575572548,2022-01-13,1,5.99
1642027921033-8703941631823630926,2022-01-12,1,5.99
1642083407526-8148540620542250513,2022-01-13,1,5.99
1642109602493-5672532550271311138,2022-01-14,1,5.99
1642134252690-2313317214512886860,2022-01-14,1,5.99
1642138094733-6972089526297423108,2022-01-14,1,5.99
1642169848695-5450448301680409244,2022-01-14,1,5.99
1642170178273-418960767912077050,2022-01-14,1,5.99
1642227127386-2809338689617591731,2022-01-15,1,5.99
1642306266829-8618282626656058590,2022-01-16,1,5.99
1642338906411-7203628774702826302,2022-01-17,1,5.99
1642377101329-5993580571627667676,2022-01-18,1,5.99
1642382937989-2970488020597568594,2022-01-17,1,5.99
1642383357479-7887170129895347536,2022-03-08,1,5.99
1642390131464-1062668468391387352,2022-01-17,1,5.99
1642451067544-1453951354495606227,2022-01-18,1,5.99
1642459065023-3610813971382511258,2022-01-17,1,5.99
1642466614995-3892768955068405909,2022-01-18,1,5.99
1642479402964-9052170957513442786,2022-01-18,1,5.99
1642559769040-2744567784547291342,2022-01-19,1,5.99
1642570590964-1071840140664767023,2022-01-19,1,5.99
1642571379584-5851552724197390137,2022-01-20,1,5.99
1642577213123-7067773599337120390,2022-01-21,1,5.99
1642633453559-8632303955379139312,2022-01-19,1,5.99
1642643960779-8207379238552171763,2022-01-20,1,5.99
1642655137554-6118142917620314911,2022-01-23,1,5.99
1642656874209-8510841858428087444,2022-01-20,1,5.99
1642660574801-8103147165098603301,2022-01-20,1,5.99
1642666551746-3779966025136003278,2022-01-20,1,5.99
1642681051099-3846345694072103708,2022-01-20,1,5.99
1642688860405-875174887923746129,2022-01-20,1,5.99
1642688943459-1387001474783584149,2022-01-21,1,5.99
1642742881943-8281207562990098189,2022-02-20,1,5.99
1642764356133-674394708845053409,2022-01-21,1,5.99
1642768301537-1821262424172309623,2022-01-21,1,5.99
1642797014817-3599946638019786435,2022-01-21,1,5.99
1642797873686-4519737913127559592,2022-01-24,1,5.99
1642821568430-2345765817987931394,2022-01-22,1,5.99
1642834107410-7863471882531228135,2022-01-23,1,5.99
1642901048994-5428106851852624033,2022-01-23,1,5.99
1642907297320-87787243826585229,2022-01-23,1,5.99
1642907768413-1884692173346150520,2022-01-23,1,5.99
1642980017455-7466588940758653532,2022-01-26,1,5.99
1643072449246-4286085732094950887,2022-01-25,1,5.99
1643079710916-4424625775482223779,2022-01-26,1,5.99
1643081684238-243863839531194366,2022-01-26,1,5.99
1643096658909-8935582165023712684,2022-01-25,1,5.99
1643107170574-4493352581414355100,2022-01-26,1,5.99
1643127802925-3194731420164184471,2022-02-01,1,5.99
1643156091632-7535788871280500372,2022-01-26,1,5.99
1643215496573-3017421749352486303,2022-01-26,1,5.99
1643229101706-6840987412494701430,2022-01-26,1,5.99
1643247723177-3391406189267416527,2022-02-01,1,5.99
1643250054074-6269877219884798632,2022-01-27,1,5.99
1643250162127-2692323066749158427,2022-01-27,1,5.99
1643252287093-957693357653439234,2022-03-20,1,5.99
1643263151237-6995931452900940972,2022-01-27,1,5.99
1643405555911-4239713447422244778,2022-02-02,1,5.99
1643410122868-5956974878944851861,2022-01-29,1,5.99
1643431054332-1154411277477717024,2022-01-30,1,5.99
1643436830501-2498825759825333801,2022-01-30,1,5.99
1643464526021-1109720857617867472,2022-01-29,1,5.99
1643491085392-3103147729102672979,2022-07-24,1,5.99
1643496452743-7397147505671234071,2022-01-31,1,5.99
1643555135273-158946310338449335,2022-01-30,1,5.99
1643558604727-4403217119625847809,2022-01-31,1,5.99
1643559563347-5317421170815558142,2022-01-30,1,5.99
1643582452048-3837427661804914657,2022-01-31,1,5.99
1643596565381-5725776034154866000,2022-01-31,1,5.99
1643598503485-5921141195394801900,2022-02-03,1,5.99
1643637456164-7604747772840587812,2022-02-02,1,5.99
1643656107933-4317446820723944374,2022-01-31,1,5.99
1643669441695-1281563144365620750,2022-01-31,1,5.99
1643773199046-8482764406760443996,2022-02-02,1,5.99
1643810152467-3023618162212950432,2022-02-05,1,5.99
1643826813814-5458431508399349800,2022-02-02,1,5.99
1643844874475-1133951915302672019,2022-02-25,1,5.99
1643875011037-1119661291985575259,2022-02-08,1,5.99
1643901151089-1141615209102552790,2022-02-03,1,5.99
1643959218160-3673875854537421415,2022-02-04,1,5.99
1644004441835-6986050682225501753,2022-02-04,1,5.99
1644019635902-6394751208672399691,2022-02-05,1,5.99
1644020033629-2506714203226245317,2022-02-05,1,5.99
1644035098908-4470287460619687760,2022-02-05,1,5.99
1644169459546-1223191410331779787,2022-02-08,1,5.99
1644209276206-7822391564034944068,2022-02-07,1,5.99
1644240829434-9082792971922100393,2022-02-07,1,5.99
1644254628582-8284274474874349205,2022-02-07,1,5.99
1644290963400-8371363071209437344,2022-02-08,1,5.99
1644354968307-4677176563041397000,2022-02-11,1,5.99
1644358189496-5084956696178759689,2022-02-08,1,5.99
1644358362098-787039105768136340,2022-02-10,1,5.99
1644368166408-3586777870840631390,2022-02-09,1,5.99
1644432735345-6229609329487050561,2022-02-09,1,5.99
